location
"Hyderabad, Telangana"
"Ichalkaranji, Maharashtra"
Telangana
"Hospet, Karnataka"
"Kharadi, Pune, Maharashtra"
"Nanjangud, Karnataka"
"Aluva, Kerala"
"Carmelaram, Karnataka"
"Paldi, Ahmedabad, Gujarat"
Orissa
"Sion, Mumbai, Maharashtra"
"Dhaka, Delhi, Delhi"
"Goregaon, Mumbai, Maharashtra"
"Kurnool, Andhra Pradesh"
"Jharsuguda, Orissa"
"Tambaram, Chennai, Tamil Nadu"
"Raurkela, Orissa"
"Dehu, Maharashtra"
"Swargate, Pune, Maharashtra"
"Bhiwandi, Maharashtra"
"Shivajinagar, Bengaluru, Karnataka"
"Kundli, Haryana"
"Lanka, Varanasi, Uttar Pradesh"
"Harni, Vadodara, Gujarat"
"T Nagar, Chennai, Tamil Nadu"
"Maharani Bagh, Delhi, Delhi"
"Erode, Tamil Nadu"
"Patna, Bihar"
"Faridabad, Haryana"
Haryana
"Srinagar, Jammu and Kashmir"
"Ranchi, Jharkhand"
"Chakan, Pune, Maharashtra"
"Sunderpur, Varanasi, Uttar Pradesh"
"Dhanbad, Jharkhand"
"Teynampet, Chennai, Tamil Nadu"
"Ellenabad, Haryana"
"Satna, Madhya Pradesh"
"Turbhe, Mumbai, Maharashtra"
"Ghansor, Madhya Pradesh"
"Mohali Sas Nagar, Chandigarh"
"Meerut, Uttar Pradesh"
"Andra, Andhra Pradesh"
"Vidhyadhar Nagar, Jaipur, Rajasthan"
"karaikal, Puducherry"
"Secunderabad, Telangana"
"Ghatkopar, Mumbai, Maharashtra"
"Daman, Daman and Diu"
"Nigdi, Pune, Maharashtra"
"Anantapur, Andhra Pradesh"
"Malkajgiri, Hyderabad, Telangana"
"Pardi, Gujarat"
"Palni, Tamil Nadu"
"Trichur, Kerala"
"Howrah, West Bengal"
"Rasipuram, Tamil Nadu"
"Ankleshwar, Gujarat"
"Dadra, Dadra and Nagar Haveli"
"Vasai, Maharashtra"
"Pollachi, Tamil Nadu"
"Roorkee, Uttarakhand"
"Raigarh Fort, Maharashtra"
"Khargon, Madhya Pradesh"
"Amravati, Maharashtra"
"Mandideep, Madhya Pradesh"
"Hazaribag, Jharkhand"
"Ramgarh, Jharkhand"
"Solapur, Maharashtra"
"Ambur, Tamil Nadu"
"Shrirampur, West Bengal"
"Dadar, Mumbai, Maharashtra"
"Nilambur, Kerala"
"Patiala, Punjab"
